"INCIDENT_ID","INCIDENT_NAME","REPORT_TO_DATE","STR_DESTROYED","STR_THREATENED","str_destroyed_change"
"2018_9028320_BADGER HOLE","Badger Hole",2018-04-21,24,0,24
"2020_11966019_CALWOOD","Calwood",2020-10-17,0,10000,0
"2020_11966019_CALWOOD","Calwood",2020-10-17,0,10000,0
"2020_11966019_CALWOOD","Calwood",2020-10-18,26,3500,26
"2020_11966019_CALWOOD","Calwood",2020-10-19,28,3500,2
"2020_11966019_CALWOOD","Calwood",2020-10-20,28,3500,0
"2020_11966019_CALWOOD","Calwood",2020-10-21,28,3500,0
"2020_11966019_CALWOOD","Calwood",2020-10-22,28,3500,0
"2020_11966019_CALWOOD","Calwood",2020-10-23,28,622,0
"2020_11966019_CALWOOD","Calwood",2020-10-24,28,622,0
"2020_11966019_CALWOOD","Calwood",2020-10-25,28,0,0
"2020_11966019_CALWOOD","Calwood",2020-10-26,28,0,0
"2020_11966019_CALWOOD","Calwood",2020-10-27,28,0,0
"2020_11966019_CALWOOD","Calwood",2020-10-28,28,0,0
"2020_11966019_CALWOOD","Calwood",2020-10-29,28,0,0
"2020_11966019_CALWOOD","Calwood",2020-10-30,28,0,0
"2020_11966019_CALWOOD","Calwood",2020-10-31,28,0,0
"2020_11966019_CALWOOD","Calwood",2020-11-01,28,0,0
"2020_11966019_CALWOOD","Calwood",2020-11-02,28,0,0
"2020_11966019_CALWOOD","Calwood",2020-11-03,28,0,0
"2020_11966019_CALWOOD","Calwood",2020-11-04,28,0,0
"2020_11966019_CALWOOD","Calwood",2020-11-05,28,0,0
"2020_11966019_CALWOOD","Calwood",2020-11-06,28,0,0
"2020_11966019_CALWOOD","Calwood",2020-11-06,28,0,0
"2020_11966019_CALWOOD","Calwood",2020-11-12,28,0,0
"2020_11966019_CALWOOD","Calwood",2020-11-19,28,0,0
"2020_11856938_CAMERON PEAK","Cameron Peak",2020-08-13,0,16,0
"2020_11856938_CAMERON PEAK","Cameron Peak",2020-08-14,0,16,0
"2020_11856938_CAMERON PEAK","Cameron Peak",2020-08-15,0,16,0
"2020_11856938_CAMERON PEAK","Cameron Peak",2020-08-16,0,16,0
"2020_11856938_CAMERON PEAK","Cameron Peak",2020-08-17,0,16,0
"2020_11856938_CAMERON PEAK","Cameron Peak",2020-08-18,0,16,0
"2020_11856938_CAMERON PEAK","Cameron Peak",2020-08-19,0,16,0
"2020_11856938_CAMERON PEAK","Cameron Peak",2020-08-20,0,16,0
"2020_11856938_CAMERON PEAK","Cameron Peak",2020-08-21,0,127,0
"2020_11856938_CAMERON PEAK","Cameron Peak",2020-08-22,0,127,0
"2020_11856938_CAMERON PEAK","Cameron Peak",2020-08-23,0,127,0
"2020_11856938_CAMERON PEAK","Cameron Peak",2020-08-24,0,127,0
"2020_11856938_CAMERON PEAK","Cameron Peak",2020-08-25,0,127,0
"2020_11856938_CAMERON PEAK","Cameron Peak",2020-08-26,0,127,0
"2020_11856938_CAMERON PEAK","Cameron Peak",2020-08-27,0,127,0
